RQ,电机后轴温度,电机前轴温度,电机绕组温度,电流,电压,瞬时流量,闸阀开度,真空度
2017-03-10 22:24:00,67.44615783399999,68.6477741431579,84.53846138421055,108.88614734210528,10.052997236842108,0.0,83.17342898578947,-0.8589200471578946
2017-03-10 22:25:00,67.46801918263158,68.66666666666669,84.60256534000001,108.66608724999999,10.072531063333335,0.0,83.16936789444443,-0.8680572509999999
2017-03-10 22:26:00,67.50445596842106,68.70445291684211,84.63562894947371,108.79248930526316,10.074561771052634,0.0,83.16581485000002,-0.868057251
2017-03-10 22:27:00,67.53684475578947,68.73684170421055,84.66396773473689,109.0254946263158,10.05153525473684,0.0,83.1673375163158,4.440787867473685
2017-03-10 22:28:00,67.56923595578945,68.76923289789474,84.73684330842107,108.8678717368421,10.089546905789476,0.0,83.17495205421055,-0.868057251
2017-03-10 22:29:00,67.63805951526315,68.83805646421051,84.76923049157894,108.67827083684212,10.071637705263155,0.0,83.17038325105264,-0.8589200471578946
2017-03-10 22:30:00,67.64615671210527,68.8461536610526,84.83805686526311,108.79020489999998,10.055921152105265,0.0,83.16276911526315,-0.8497828433157893
2017-03-10 22:31:00,67.72308309789476,68.92308003894736,84.89069004842104,108.49552234736844,10.068348131578947,0.0,83.16886058473685,-0.8680572509999999
2017-03-10 22:32:00,67.76356747421053,68.96154022000002,84.92307917,108.49247614444445,10.04899703111111,0.0,83.15972391722221,-0.868057251
2017-03-10 22:33:00,67.79615707550002,68.99615402200001,84.97692413200001,108.25520935499999,10.0704862105,0.0,83.166957091,-0.868057251
2017-03-10 22:34:00,67.86923103500001,69.06882316526317,85.03238718315791,108.33790226842103,10.080409652105262,0.0,83.17038365368423,-0.868057251
2017-03-10 22:35:00,67.89716660473684,69.09716355473684,85.07692036210527,108.89300175263158,10.085892125263157,0.0,83.15972338052632,-0.868057251
2017-03-10 22:36:00,67.9324811288889,69.13247807888891,85.10683568555558,108.73360273888889,10.083333598333333,0.0,83.16293758555555,-0.8680572509999999
2017-03-10 22:37:00,67.95384938894739,69.1538463389474,85.14170034315794,108.90670655789475,10.080409602105261,0.0,83.17342938789477,-0.8589200471578946
2017-03-10 22:38:00,67.97814017736842,69.17813712736842,85.16194313473687,108.93183456842108,10.082968058947369,0.0,83.1581999105263,-0.8497828433157893
2017-03-10 22:39:00,67.99433376894739,69.19433071894737,85.2226707073684,108.65999603157896,10.075658095263158,0.0,83.1688609868421,-0.868057251
2017-03-10 22:40:00,68.0105273605263,69.21052431052631,85.26720629263154,108.5366415894737,10.073465094736845,0.0,83.15667684263157,-0.8315084356315787
2017-03-10 22:41:00,68.13198611526315,69.33198306526315,85.31174107578944,108.55034677894736,10.070906789473682,0.0,83.16429258578947,-0.8589200471578946
2017-03-10 22:42:00,68.32631964157896,69.52631659157896,85.31983867368419,108.97295258421055,10.066155232631582,0.0,83.1566772436842,-0.868057251
2017-03-10 22:43:00,68.5166027668421,69.70940229555555,85.37179353666664,109.37982347777775,10.037037160055558,0.0,83.15972306833334,-0.858412424722222
2017-03-10 22:44:00,68.6461580077778,69.8461549533333,85.37179311333333,109.2689047888889,10.046296278944446,0.0,83.16293801,-0.8680572509999999
2017-03-10 22:45:00,68.79595465578949,69.99595160210528,85.44939221894735,110.03974834736842,10.050804138947367,0.0,83.15820071473684,-0.868057251
2017-03-10 22:46:00,68.92955619421052,70.12955314421052,85.45344141894736,110.17224120526313,10.032163720105265,0.0,83.16124604684211,-0.868057251
2017-03-10 22:47:00,69.02222527222222,70.22222222222221,85.51281908000001,109.70534388888888,10.02276224611111,0.0,83.16293885888886,-0.8584124247222221
2017-03-10 22:48:00,69.09959853105259,70.2995954810526,85.51012099473685,110.32529167894735,10.013888910999999,0.0,83.16429097736841,-0.8406456394736841
2017-03-10 22:49:00,69.1522289068421,70.3522258568421,85.55465417368423,110.01233432105262,10.035818801052635,0.0,83.16886058473685,-0.8497828433157893
